"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.334745834E-2,2.408794110E-1,-1.668444514E-2,3.758005500E-2,2.443635035E-1
3.337345834E-2,1.813106091E-1,-1.206119791E-1,2.904247695E-1,3.629977042E-1
4.340045832E-2,1.376713769E-1,-2.643061343E-1,3.009129202E-1,4.235088266E-1
5.342745833E-2,1.640019737E-1,-2.152637824E-1,1.216162384E-2,2.708930573E-1
6.345445832E-2,1.393075740E-1,3.057070524E-2,-2.523132026E-1,2.898329181E-1
7.348045832E-2,1.119117607E-1,2.537846544E-1,-2.562705982E-1,3.776314506E-1
8.350745833E-2,3.680062115E-2,4.097757965E-1,-9.176269412E-2,4.215339621E-1
9.353445834E-2,2.785248086E-2,4.565041128E-1,2.504830241E-2,4.580384079E-1
1.035614583E-1,1.714229675E-1,3.819503590E-1,6.404513776E-2,4.235253124E-1
1.135874583E-1,3.921309462E-1,3.728371811E-1,8.028168619E-2,5.470094988E-1
1.236144583E-1,4.740096532E-1,3.104447588E-1,6.609224796E-2,5.704640960E-1
1.336414583E-1,6.507014005E-1,-1.195702976E-1,3.866529822E-2,6.627249610E-1
1.436674583E-1,7.987600636E-1,-5.364899299E-1,-1.265623981E-1,9.704932379E-1
1.536944583E-1,9.053830178E-1,-9.351215181E-1,-3.752240145E-1,1.354608328E0
1.637214583E-1,9.368122405E-1,-7.463976628E-1,-4.403731066E-1,1.276187728E0
1.737484583E-1,8.243843168E-1,-5.825841156E-1,-6.740909940E-1,1.213842009E0
1.837744583E-1,8.039899595E-1,-5.038408318E-1,-6.651722360E-1,1.158753443E0
1.938014583E-1,6.753238794E-1,-3.934857461E-1,-4.310175616E-1,8.925634503E-1
2.038284583E-1,4.782197946E-1,-1.869886941E-1,8.097750485E-2,5.198233354E-1
2.138554583E-1,2.085137567E-1,2.599525899E-2,5.403587401E-1,5.797769469E-1
2.238814583E-1,1.754556459E-1,2.040149090E-1,2.891395515E-1,3.949790463E-1
2.339084583E-1,4.725563277E-1,3.405263445E-1,1.073414308E-1,5.922751531E-1
2.439354583E-1,5.647790515E-1,1.726036665E-1,-3.344414395E-1,6.786887941E-1
2.539624583E-1,7.270229137E-1,-1.912244171E-1,-9.277894020E-1,1.194119872E0
2.639884583E-1,9.510366158E-1,-6.983382279E-1,-1.099761862E0,1.612954766E0
2.740154583E-1,1.871380612E0,-1.091985065E0,-6.800650942E-1,2.270899669E0
2.840424583E-1,2.578166897E0,-1.631671375E0,-1.723867348E0,3.504427865E0
2.940684583E-1,2.785205401E0,-2.647957509E0,-3.378178557E0,5.116750772E0
3.040954583E-1,2.693010013E0,-3.747842162E0,-3.693225367E0,5.910882964E0
3.141224583E-1,1.633862034E0,-4.415307968E0,-3.820335649E0,6.062954237E0
3.241498333E-1,1.058419123E0,-4.499802866E0,-4.748219191E0,6.626768621E0
3.341758333E-1,1.376401382E0,-3.957006714E0,-6.335896701E0,7.595786325E0
3.442028333E-1,1.548546773E0,-3.205943558E0,-7.307340830E0,8.128548530E0
3.542298333E-1,2.139455569E0,-2.860594137E0,-7.005081296E0,7.863296568E0
3.642568333E-1,2.951056995E0,-2.897012935E0,-6.492374623E0,7.697554780E0
3.742828333E-1,4.281954029E0,-2.959829281E0,-6.104193764E0,8.022275312E0
3.843098333E-1,5.646438639E0,-3.870448334E0,-5.596577677E0,8.842189848E0
3.943368333E-1,6.137389576E0,-4.647900851E0,-4.645754923E0,8.991861428E0
4.043628333E-1,6.437702572E0,-4.726414340E0,-5.020710551E0,9.433479811E0
4.143898333E-1,6.256100918E0,-4.432612218E0,-4.599441467E0,8.941012895E0
4.244168333E-1,5.777553095E0,-4.210178288E0,-4.482435173E0,8.437887535E0
4.344438333E-1,4.926322457E0,-3.991399451E0,-3.698811797E0,7.340376778E0
4.444698333E-1,4.850099908E0,-3.048403488E0,-2.254609172E0,6.156256611E0
4.544968333E-1,4.533697128E0,-1.960238848E0,-3.113509603E0,5.838740279E0
4.645238333E-1,3.956909650E0,-1.682269086E0,-2.336438032E0,4.893475854E0
4.745508333E-1,3.823598980E0,-1.603880144E0,-8.624298102E-1,4.235106357E0
4.845768333E-1,4.711324430E0,-2.970789594E0,1.761824548E-1,5.572540619E0
4.946038333E-1,4.384917650E0,-3.787093644E0,2.874824506E-1,5.801053975E0
5.046308333E-1,2.811955243E0,-2.623065912E0,5.465924567E-1,3.884112560E0
5.146568333E-1,1.402699673E0,-1.272950688E0,4.088034046E-1,1.937805473E0
5.246838333E-1,1.866659278E-1,-2.571707770E-1,-4.463244027E-1,5.478927355E-1
5.347108333E-1,-1.119020836E0,3.838020626E-1,-9.289617687E-1,1.504154787E0
5.447378333E-1,-1.761642700E0,3.705453649E-1,-1.647902076E0,2.440547095E0
5.547638333E-1,-1.033192481E0,-5.368106496E-1,-2.494069026E0,2.752459388E0
5.647908333E-1,-7.275538409E-1,-1.836713055E0,-2.175365367E0,2.938547927E0
5.748178333E-1,-1.124600834E0,-2.257730416E0,-1.333392041E0,2.853069926E0
5.848438333E-1,-1.693436683E0,-1.431521183E0,-8.966354370E-1,2.391847781E0
5.948708333E-1,-2.478309610E0,-5.214079142E-2,-4.324717641E-2,2.479235266E0
6.048978333E-1,-3.011167542E0,6.963378954E-1,7.109372234E-1,3.171348004E0
6.149248333E-1,-5.063564794E0,1.042180528E0,2.997860448E0,5.976035136E0
6.249508333E-1,-6.725329449E0,8.275461987E-1,5.077453101E0,8.467314740E0
6.349778333E-1,-7.463115917E0,-1.501170292E-1,5.064493332E0,9.020517005E0
6.450048333E-1,-8.429239081E0,-9.439996380E-1,5.804998171E0,1.027819102E1
6.550308333E-1,-8.969946315E0,-3.439594641E-1,6.332432225E0,1.098535129E1
6.650578333E-1,-9.838689948E0,1.589687490E0,7.677055013E0,1.258030603E1
6.750848333E-1,-1.082649400E1,3.328527510E0,1.071867602E1,1.559429650E1
6.851108333E-1,-1.168235447E1,3.834966552E0,1.223168985E1,1.734354667E1
6.951378333E-1,-1.246967854E1,3.904433521E0,1.211441225E1,1.781843058E1
7.051648333E-1,-1.258516456E1,3.495106498E0,1.383979461E1,1.903003025E1
7.151918333E-1,-1.218748724E1,2.635961654E0,1.516084084E1,1.962993209E1
7.252178333E-1,-1.288609152E1,1.138081151E0,1.574179914E1,2.037525026E1
7.352448333E-1,-1.322476926E1,-4.768638253E-2,1.519417464E1,2.014347883E1
7.452718333E-1,-1.305550523E1,-2.969333053E-1,1.366121129E1,1.889875869E1
7.552978333E-1,-1.311726937E1,-7.882663581E-1,1.248040936E1,1.812304437E1
7.653248333E-1,-1.225581312E1,-1.374408651E0,1.123520034E1,1.668303573E1
7.753518333E-1,-1.066002260E1,-1.840109849E0,9.356496386E0,1.430266097E1
7.853788333E-1,-9.191884986E0,-2.132130323E0,8.072844270E0,1.241803301E1
7.954048333E-1,-7.738120995E0,-2.547509361E0,7.190283666E0,1.086593299E1
8.054318333E-1,-5.643777571E0,-3.048138025E0,5.352925955E0,8.354471077E0
8.154588333E-1,-6.879470825E0,-3.526333553E0,3.712843945E0,8.575975590E0
8.254848333E-1,-1.191204011E1,-4.012559355E0,2.344469182E0,1.278647207E1
8.355118333E-1,8.931621909E0,-1.272836814E0,4.391716792E0,1.003400019E1
8.455388333E-1,1.844380100E1,6.317244083E0,8.623566615E0,2.131776886E1
8.555648333E-1,6.251119675E0,4.240923532E0,1.160386963E0,7.642540644E0
8.655918333E-1,4.706263080E0,-2.100372926E0,-2.693799972E0,5.815241775E0
8.756188333E-1,3.770122100E0,-2.204198572E-1,-2.917346628E0,4.772139657E0
8.856458333E-1,5.526809285E0,4.023707364E0,-3.934356354E0,7.887648683E0
8.956718333E-1,6.284666905E0,6.419780856E0,-4.856268720E0,1.021244193E1
9.056988333E-1,5.530740952E0,6.686464176E0,-5.450979084E0,1.024749099E1
9.157258333E-1,5.168474368E0,6.293948776E0,-6.024996736E0,1.013052339E1
9.257518333E-1,5.674491241E0,6.320819070E0,-6.446720148E0,1.066362064E1
9.357788333E-1,6.660573875E0,6.299304240E0,-6.626092259E0,1.131147987E1
9.458058333E-1,7.727891876E0,6.253673154E0,-6.212823336E0,1.172296526E1
9.558318333E-1,8.587242542E0,6.232402153E0,-5.717599254E0,1.205298769E1
9.658588333E-1,8.741320767E0,5.732138355E0,-5.351536072E0,1.174338270E1
9.758858333E-1,8.364561859E0,4.943851240E0,-5.000249389E0,1.092749075E1
9.859118333E-1,7.969576594E0,4.548072508E0,-4.903722383E0,1.040411495E1
9.959388333E-1,7.801244026E0,4.510078178E0,-4.676379715E0,1.015227761E1
1.005965833E0,7.632284637E0,4.297650880E0,-4.346017293E0,9.778007884E0
1.015992833E0,7.326513265E0,3.955852766E0,-4.173856553E0,9.313841649E0
1.026018833E0,7.287948539E0,3.702560447E0,-4.305717698E0,9.239174891E0
1.036045833E0,7.427170159E0,3.265491017E0,-4.519917580E0,9.287407770E0
1.046072833E0,7.591925400E0,2.913783042E0,-4.561874861E0,9.324063768E0
1.056098833E0,7.725055391E0,2.905219502E0,-4.364657632E0,9.336327833E0
1.066125833E0,7.804669910E0,2.719586778E0,-4.623238465E0,9.470129807E0
1.076152833E0,7.527391436E0,2.313400879E0,-5.133671156E0,9.400426851E0
1.086178833E0,7.049711924E0,2.062471420E0,-5.957245633E0,9.457325314E0
1.096205833E0,6.561748914E0,2.034860575E0,-6.590804898E0,9.520289679E0
1.106232833E0,6.177962236E0,2.071450405E0,-6.722858416E0,9.362422200E0
1.116258833E0,5.857150657E0,2.210940704E0,-6.586733481E0,9.087328021E0
1.126285833E0,5.786009923E0,2.581769074E0,-6.158133743E0,8.835499622E0
1.136312833E0,6.079415018E0,3.378535237E0,-5.898958833E0,9.119841151E0
1.146338833E0,6.317375060E0,3.953538145E0,-5.506492549E0,9.266129274E0
1.156365833E0,6.425785362E0,3.809151972E0,-4.892606242E0,8.929610972E0
1.166392833E0,6.622844716E0,3.371008117E0,-4.350644780E0,8.611264591E0
1.176418833E0,6.637849841E0,2.907346135E0,-3.607405198E0,8.094880130E0
1.186445833E0,6.335331860E0,2.414757100E0,-2.671396365E0,7.287238171E0
1.196472833E0,5.096524379E0,1.499275648E0,-1.125217715E0,5.430331769E0
1.206499833E0,2.724901897E0,-2.656966022E-1,7.570197147E-1,2.840556966E0
1.216525833E0,-1.521915629E0,-3.532672812E0,2.632178505E0,4.660940684E0
1.226552833E0,-7.336110885E0,-8.171568074E0,4.384572079E0,1.182444587E1
1.236579833E0,-1.353872381E1,-1.174614057E1,5.789120641E0,1.883567834E1
1.246605833E0,-1.906558689E1,-1.340874489E1,7.009214108E0,2.433968211E1
1.256632833E0,-2.219458285E1,-1.279978427E1,7.184690804E0,2.660927972E1
1.266659833E0,-2.391457641E1,-1.136827829E1,7.260236245E0,2.745643361E1
1.276685833E0,-2.559525564E1,-1.114117127E1,7.218141555E0,2.883304313E1
1.286712833E0,-2.580660208E1,-1.049514632E1,6.880678275E0,2.869621126E1
1.296739833E0,-2.419100704E1,-8.948835527E0,7.999190403E0,2.700506482E1
1.306765833E0,-2.225482554E1,-9.229016560E0,1.062610524E1,2.633184610E1
1.316792833E0,-2.006945442E1,-1.071352580E1,1.261952865E1,2.601567103E1
1.326819833E0,-1.790291133E1,-1.092138847E1,1.331499414E1,2.484109557E1
1.336845833E0,-1.601494948E1,-9.709558868E0,1.339383566E1,2.302496414E1
1.346872833E0,-1.409194409E1,-7.540930079E0,1.230375795E1,2.017005142E1
1.356899833E0,-1.212251766E1,-5.113684203E0,1.037761027E1,1.675708792E1
1.366925833E0,-9.793743571E0,-3.269971154E0,8.235527843E0,1.320734808E1
1.376952833E0,-6.818338770E0,-1.946467339E0,6.296510441E0,9.482854128E0
1.386979833E0,-3.395490993E0,-1.302484828E0,5.847424398E0,6.886087271E0
1.397005833E0,2.587977648E-3,-9.235332137E-1,5.839701396E0,5.912278130E0
1.407032833E0,2.888769531E0,-5.322457284E-2,5.048023480E0,5.816387479E0
1.417059833E0,5.142998049E0,1.489850960E0,3.086296077E0,6.180235294E0
1.427085833E0,7.033525661E0,3.222312545E0,8.978873259E-1,7.788451901E0
1.437112833E0,8.849082613E0,5.242751548E0,-1.002197852E0,1.033426860E1
1.447139833E0,1.099592058E1,7.377965840E0,-3.135263292E0,1.360788468E1
1.457165833E0,1.244934193E1,8.573923169E0,-4.476953409E0,1.576519536E1
1.467192833E0,1.302535231E1,7.828654604E0,-4.747355558E0,1.592121291E1
1.477219833E0,1.402379596E1,6.350187296E0,-4.027400758E0,1.591262671E1
1.487245833E0,1.539245490E1,5.020556184E0,-2.018705596E0,1.631590710E1
1.497272833E0,1.520572874E1,3.906798135E0,-8.843820119E-1,1.572448377E1
1.507299833E0,1.477217758E1,3.256139857E0,-2.121769788E0,1.527486774E1
1.517325833E0,1.352649845E1,2.475028737E0,-3.216541051E0,1.412225421E1
1.527352833E0,1.208505805E1,1.781863249E0,-4.214052068E0,1.292214764E1
1.537379833E0,1.065387484E1,1.766797605E0,-4.697537573E0,1.177681970E1
1.547405833E0,9.362151813E0,2.499211944E0,-5.105198724E0,1.095257965E1
1.557432833E0,7.900567170E0,3.771373989E0,-5.300778147E0,1.023427928E1
1.567459833E0,6.805577222E0,4.818622299E0,-4.875278603E0,9.659365592E0
1.577485833E0,6.433881417E0,5.429270711E0,-4.189507211E0,9.403392006E0
1.587512833E0,6.784044850E0,5.359771290E0,-3.831716670E0,9.456873979E0
1.597539833E0,7.253549370E0,4.546178010E0,-3.761408579E0,9.350396112E0
1.607565833E0,7.232514596E0,3.390664994E0,-3.791126176E0,8.841861465E0
1.617592833E0,7.019446735E0,2.387564916E0,-3.872477610E0,8.364758307E0
1.627619833E0,6.885810961E0,1.580862579E0,-4.011907099E0,8.124587229E0
1.637645833E0,6.674838157E0,1.244142772E0,-4.016618785E0,7.888889791E0
1.647672833E0,6.397163826E0,1.520035164E0,-3.846534099E0,7.617744843E0
1.657699833E0,6.253385471E0,2.307660960E0,-3.682545428E0,7.615199917E0
1.667725833E0,6.472291192E0,3.390251303E0,-3.665093828E0,8.174183136E0
1.677752833E0,6.667546679E0,3.815148292E0,-3.219866948E0,8.329410446E0
1.687779833E0,6.866681210E0,3.672331511E0,-2.726816860E0,8.250627840E0
1.697805833E0,7.067941788E0,3.306151385E0,-1.758171500E0,7.998600198E0
1.707832833E0,7.578182105E0,3.068710576E0,-7.830032793E-1,8.213338100E0
1.717859833E0,8.326177812E0,3.157355534E0,-2.159809434E-1,8.907344087E0
1.727885833E0,8.953247252E0,3.162850163E0,2.198225641E-1,9.498030294E0
1.737912833E0,9.103763353E0,3.123814736E0,2.840837565E-1,9.628989006E0
1.747939833E0,8.230226172E0,3.006873347E0,1.119203854E-1,8.763015254E0
1.757965833E0,6.362471126E0,2.635326061E0,-8.429989278E-2,6.887168413E0
1.767992833E0,3.783377153E0,1.432978602E0,-1.448004484E-2,4.045686595E0
1.778018833E0,4.183612633E-1,-1.027355205E0,9.255738920E-1,1.444704778E0
1.788045833E0,-3.648072583E0,-3.810214119E0,2.797042212E0,5.970729465E0
1.798072833E0,-8.059053612E0,-6.235377216E0,5.517565421E0,1.158757103E1
1.808098833E0,-1.259912070E1,-8.502398273E0,8.016730295E0,1.718419574E1
1.818125833E0,-1.667360324E1,-9.982246109E0,9.290209426E0,2.153978350E1
1.828152833E0,-2.037776407E1,-1.066865309E1,9.960911958E0,2.506577735E1
1.838178833E0,-2.381623092E1,-1.144412954E1,1.018201623E1,2.831703394E1
1.848205833E0,-2.651407074E1,-1.206256031E1,9.657646703E0,3.068829497E1
1.858232833E0,-2.729186970E1,-1.225914838E1,9.354491960E0,3.134707946E1
1.868258833E0,-2.652503778E1,-1.247021766E1,9.938566239E0,3.094929816E1
1.878285833E0,-2.455183638E1,-1.246967153E1,1.030594680E1,2.940234544E1
1.888312833E0,-2.157431255E1,-1.168595986E1,9.918236639E0,2.646476975E1
1.898338833E0,-1.806247717E1,-1.003729180E1,8.759444212E0,2.244388939E1
1.908365833E0,-1.460385379E1,-7.791908947E0,7.866151044E0,1.832655785E1
1.918392833E0,-1.134887723E1,-5.002252060E0,7.522128357E0,1.450523889E1
1.928418833E0,-8.075398334E0,-2.024807311E0,7.273436919E0,1.105507972E1
1.938445833E0,-4.518589677E0,1.930567883E-1,6.501500373E0,7.919875674E0
1.948472833E0,-6.675619930E-1,1.986929195E0,4.824037113E0,5.259739605E0
1.958498833E0,2.766039398E0,4.007208276E0,2.617215480E0,5.527975125E0
1.968525833E0,5.407073511E0,5.988160447E0,2.857452428E-1,8.073175325E0
1.978551833E0,7.595298074E0,7.440794756E0,-1.977278073E0,1.081497148E1
1.988578833E0,9.415401821E0,7.921089728E0,-3.396631200E0,1.276442546E1
1.998605833E0,1.039820651E1,6.967355645E0,-3.830398707E0,1.308964085E1
2.008631833E0,1.079145281E1,5.257643822E0,-3.788505161E0,1.258773386E1
2.018658833E0,1.110159614E1,3.702769777E0,-3.598519769E0,1.224358140E1
2.028685833E0,1.121565427E1,2.564290870E0,-3.306958886E0,1.197090078E1
