"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.220625023E-3,3.375113739E-1,-1.898126069E-1,1.288433969E-1,4.080972607E-1
1.824762500E-2,4.289926708E-1,-1.610454753E-1,2.316772091E-1,5.134634222E-1
2.827362501E-2,5.534639584E-1,-8.583946466E-2,2.151471305E-1,5.999825453E-1
3.830062502E-2,6.439624844E-1,-7.473706394E-2,2.456766129E-2,6.487502448E-1
4.832762500E-2,6.638776624E-1,-5.940946519E-2,-1.349964219E-1,6.800640184E-1
5.835362501E-2,6.019810840E-1,-5.302196681E-2,-2.295049685E-1,6.464248488E-1
6.838062502E-2,5.749213395E-1,-1.596184623E-1,-2.480324560E-1,6.461677022E-1
7.840762500E-2,5.951164529E-1,-2.833952469E-1,-3.342391258E-1,7.390482066E-1
8.843362500E-2,6.852015808E-1,-2.803830537E-1,-4.340972900E-1,8.582285945E-1
9.846062501E-2,7.767762870E-1,-2.775366291E-1,-5.008450109E-1,9.650148732E-1
1.084876250E-1,8.902599254E-1,-3.505031562E-1,-5.634429628E-1,1.110352723E0
1.185136250E-1,1.006454772E0,-3.542249089E-1,-6.710966349E-1,1.260474985E0
1.285406250E-1,1.021029834E0,-3.415946308E-1,-6.862315679E-1,1.276754705E0
1.385676250E-1,1.040997198E0,-2.905914152E-1,-7.533856702E-1,1.317462905E0
1.485936250E-1,1.081034399E0,-2.107769215E-1,-8.500676268E-1,1.391286187E0
1.586206250E-1,1.161013931E0,-1.931727093E-1,-8.798211837E-1,1.469474177E0
1.686466250E-1,1.345415378E0,-1.733994725E-1,-1.031534795E0,1.704193049E0
1.786779583E-1,1.474539441E0,-1.404606450E-1,-1.112139248E0,1.852255237E0
1.887049583E-1,1.450634854E0,-1.377457827E-1,-1.097979046E0,1.824520037E0
1.987309583E-1,1.354911256E0,-1.315955351E-1,-9.263135648E-1,1.646559661E0
2.087579583E-1,1.229275934E0,-9.191516027E-2,-7.419105095E-1,1.438749083E0
2.187849583E-1,1.073202492E0,2.201812908E-2,-5.488985986E-1,1.205627662E0
2.288109583E-1,9.468565875E-1,1.540788102E-1,-3.543985713E-1,1.022680803E0
2.388379583E-1,8.496089128E-1,2.402666228E-1,-1.644143486E-1,8.981065820E-1
2.488649584E-1,8.440515728E-1,2.289376424E-1,7.324222326E-3,8.745794109E-1
2.588909583E-1,8.936890250E-1,2.014209379E-1,-4.823309720E-2,9.173750048E-1
2.689179583E-1,8.804271745E-1,3.109616527E-1,-1.604423350E-1,9.474127410E-1
2.789449584E-1,8.274981053E-1,4.587792644E-1,-3.200134349E-1,9.988193662E-1
2.889709584E-1,7.183207950E-1,4.425804305E-1,-5.714577413E-1,1.019031968E0
2.989979583E-1,6.820777059E-1,4.140650216E-1,-8.428170794E-1,1.160612109E0
3.090249583E-1,7.036695729E-1,4.768845829E-1,-1.153256283E0,1.432679248E0
3.190509584E-1,7.866497491E-1,5.738825816E-1,-1.448541259E0,1.745402768E0
3.290779583E-1,8.263796061E-1,6.119820155E-1,-1.664650841E0,1.956652157E0
3.391049583E-1,7.889552332E-1,6.612794521E-1,-1.804666513E0,2.077633773E0
3.491309583E-1,8.340476447E-1,6.238837306E-1,-1.942510529E0,2.204135553E0
3.591579583E-1,9.276216600E-1,4.343134908E-1,-2.121765110E0,2.356055461E0
3.691849583E-1,1.096859669E0,3.596430852E-1,-2.260108479E0,2.537820840E0
3.792109583E-1,1.392428161E0,4.379794027E-1,-2.375945914E0,2.788512350E0
3.892379584E-1,1.595405920E0,3.843171658E-1,-2.305799791E0,2.830147065E0
3.992649583E-1,1.582116222E0,2.445060003E-1,-1.993634489E0,2.556844423E0
4.092909583E-1,1.384783511E0,2.642581871E-1,-1.708794980E0,2.215273809E0
4.193179584E-1,1.028765115E0,3.520835124E-1,-1.537973837E0,1.883529662E0
4.293449583E-1,6.567960265E-1,3.678572537E-1,-1.264983126E0,1.472033386E0
4.393709583E-1,4.844721492E-1,3.558288002E-1,-1.000907080E0,1.167536886E0
4.493979583E-1,4.610677184E-1,2.189821731E-1,-5.172037661E-1,7.266611100E-1
4.594249583E-1,3.496500840E-1,1.850439101E-2,1.967003345E-3,3.501449169E-1
4.694509583E-1,1.181577565E-1,1.625335917E-2,3.644031572E-1,3.834254662E-1
4.794779583E-1,-1.701239354E-1,1.492085181E-1,8.020625710E-1,8.333724876E-1
4.895049583E-1,-3.859805890E-1,3.707728216E-1,1.345074193E0,1.447645704E0
4.995309583E-1,-6.299990411E-1,6.181902967E-1,1.705155088E0,1.920055184E0
5.095579583E-1,-1.038806466E0,7.740126005E-1,1.855336729E0,2.262849698E0
5.195849584E-1,-1.303922659E0,8.262318177E-1,1.955189631E0,2.491112163E0
5.296109583E-1,-1.303897808E0,7.693650873E-1,1.424970548E0,2.079089510E0
5.396379583E-1,-1.308523540E0,1.039155544E0,1.702788720E0,2.385700636E0
5.496649584E-1,-1.369145718E0,1.132675254E0,1.543003027E0,2.353374507E0
5.596909584E-1,-1.245684098E0,5.459418078E-1,1.464524038E0,1.998652543E0
5.697179583E-1,-1.031362375E0,3.922619238E-1,1.296559260E0,1.702540361E0
5.797449583E-1,-8.395571105E-1,6.609760547E-1,1.103784746E0,1.536257222E0
5.897709584E-1,-7.663611533E-1,6.866815111E-1,9.826099724E-1,1.422801206E0
5.997979583E-1,-8.256030227E-1,6.251984771E-1,8.607510746E-1,1.346620176E0
6.098249583E-1,-8.958033782E-1,6.588445254E-1,8.726788098E-1,1.413544519E0
6.198509583E-1,-9.737767299E-1,6.719251122E-1,8.267506850E-1,1.443343747E0
6.298779583E-1,-8.966216961E-1,5.929602921E-1,6.251497990E-1,1.243521067E0
6.399049583E-1,-6.188642614E-1,3.987954564E-1,4.176707071E-1,8.464511857E-1
6.499309583E-1,-3.597217302E-1,8.106945232E-2,1.444496155E-1,3.960273610E-1
6.599579584E-1,-2.027719371E-1,-1.165070875E-1,3.055111706E-2,2.358468373E-1
6.699849583E-1,-1.985286127E-1,3.379763737E-2,-6.570925534E-2,2.118338891E-1
6.800119583E-1,-1.594883618E-1,1.482791032E-1,-4.084981799E-1,4.629189918E-1
6.900379584E-1,-1.888945940E-1,3.106201753E-2,-6.600097293E-1,6.872109278E-1
7.000649583E-1,-1.896818851E-1,-1.019215004E-1,-7.841952342E-1,8.132216027E-1
7.100919583E-1,6.887906749E-2,-1.503743067E-2,-7.051391244E-1,7.086548067E-1
