"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.555374991E-3,-7.284043184E-1,5.476911485E-2,3.878142393E-1,8.270262337E-1
1.350937500E-2,-9.518242358E-1,3.549862164E-1,2.306732422E-1,1.041726804E0
2.346337499E-2,-1.527106495E0,4.262547120E-1,-1.150921490E0,1.959175235E0
3.341837499E-2,-1.678730205E0,1.166859246E0,-3.395887434E0,3.963804620E0
4.337237499E-2,-5.728608537E-1,1.144356821E0,-4.889852203E0,5.054540203E0
5.332637500E-2,-2.240636666E0,-5.378403443E-1,-4.483507553E0,5.040988482E0
6.328037499E-2,-1.479066794E0,-1.613906364E0,-3.546490660E0,4.167724599E0
7.323437500E-2,6.086151887E-1,-1.695279726E0,-3.415406025E0,3.861267164E0
8.318837499E-2,1.449184160E0,-1.296725321E0,-5.146141512E0,5.501309276E0
9.314237500E-2,1.242618695E0,-2.044319909E0,-6.280348737E0,6.720574779E0
1.030963750E-1,9.693441018E-1,-2.774512598E0,-7.243405035E0,7.816934479E0
1.130503750E-1,4.517242333E-1,-2.852034106E0,-8.145634503E0,8.642309575E0
1.230043750E-1,5.761159256E-2,-3.154446837E0,-8.289468992E0,8.869563130E0
1.329583750E-1,-2.329377957E-1,-3.650118816E0,-6.835805572E0,7.752797251E0
1.429123750E-1,7.271788882E-1,-4.199615293E0,-4.208234088E0,5.989556902E0
1.528663750E-1,2.124706260E0,-3.953881085E0,-3.568196694E0,5.734071849E0
1.628203750E-1,2.631454035E0,-2.735236266E0,7.013384342E-1,3.859785404E0
1.727743750E-1,2.305069913E0,-2.135785418E0,9.981086022E-1,3.297142313E0
1.827283750E-1,2.084896515E0,-2.207231084E0,-5.495564103E-1,3.085559072E0
1.926823750E-1,1.623380462E0,-1.391124817E0,-9.226187092E-1,2.328479689E0
2.026363750E-1,5.095427076E-1,-3.990508336E-1,-1.762261335E0,1.877349289E0
2.125903750E-1,-4.374182893E-1,2.998363017E-1,-4.136353097E0,4.170210248E0
2.225443750E-1,1.640458717E0,-1.564568728E-2,-4.685479737E0,4.964380118E0
2.324983750E-1,1.531134934E0,1.163724188E0,-3.915659882E0,4.362455786E0
2.424523750E-1,8.054533714E-1,2.276982958E0,-3.858506273E0,4.552084927E0
2.524063750E-1,2.874110561E0,2.110457765E0,-3.044120695E0,4.688412770E0
2.623603750E-1,3.656383815E0,1.291940544E0,-1.584035279E0,4.188964161E0
2.723143750E-1,3.011140060E0,2.603127053E-1,-8.401817393E-1,3.136978247E0
2.822693750E-1,2.111087218E0,-9.022915949E-1,-6.059083664E-1,2.374435577E0
2.922233750E-1,1.154210403E0,-1.404708630E0,-9.702249849E-1,2.060763089E0
3.021773750E-1,-2.705774558E-1,-1.735195890E0,-2.303445702E0,2.896546053E0
3.121313750E-1,-9.491826099E-1,-2.275423214E0,-4.190346286E0,4.861841259E0
3.220853750E-1,-5.366946920E-1,-2.229614372E0,-5.974238811E0,6.399277366E0
3.320393750E-1,-1.323672214E-1,-2.835864801E0,-6.725645199E0,7.300270789E0
3.419933750E-1,-4.084019932E-1,-3.523189505E0,-5.126346933E0,6.233705909E0
3.519473750E-1,-7.804680727E-1,-2.454706739E0,-1.727465140E0,3.101427316E0
3.619013750E-1,2.809176354E-1,-3.089421414E0,9.338418549E-1,3.239675909E0
3.718553750E-1,7.649815759E-1,-4.183603570E0,2.616181108E0,4.993209311E0
3.818093750E-1,8.135821706E-1,-4.695885150E0,3.702324219E0,6.034936446E0
3.917633750E-1,1.415205697E0,-5.868765566E0,4.274515201E0,7.397073519E0
4.017173750E-1,4.563142537E0,-7.746595949E0,4.592065789E0,1.009549834E1
4.116713750E-1,8.739650803E0,-9.245872913E0,8.355949495E0,1.522135191E1
4.216253750E-1,1.128507592E1,-8.624041994E0,1.450004934E1,2.029725276E1
4.315793750E-1,1.376964205E1,-8.371547527E0,1.856458927E1,2.458312073E1
4.415333750E-1,1.457604209E1,-6.774317422E0,1.819120947E1,2.427493525E1
4.514873750E-1,1.324077660E1,-5.340157390E0,1.410337423E1,2.006839830E1
4.614413750E-1,1.174235275E1,-6.360671938E0,8.421462868E0,1.578803447E1
4.713953750E-1,1.033253409E1,-6.373429978E0,3.645872276E0,1.267573489E1
4.813493750E-1,8.022757605E0,-4.858877455E0,4.123447707E-1,9.388469414E0
4.913033750E-1,5.673332323E0,-2.835054084E0,-1.319015199E0,6.477965144E0
5.012573750E-1,4.911250674E0,-2.467764156E0,-1.077535425E0,5.601011132E0
5.112113750E-1,4.484199278E0,-1.146113325E0,1.454600143E-1,4.630634680E0
5.211663750E-1,4.999943579E0,1.131842610E0,2.209476269E0,5.582319310E0
5.311203750E-1,5.098495476E0,3.003697724E0,4.923002408E0,7.697584610E0
5.410743750E-1,4.026301482E0,5.033843397E0,6.931235640E0,9.465342596E0
5.510283750E-1,2.276601720E0,6.240120478E0,7.420102630E0,9.958912692E0
5.609823750E-1,7.028546172E-1,6.417094061E0,6.954118134E0,9.488564687E0
5.709363750E-1,-9.250441343E-1,6.102581686E0,5.908095692E0,8.544167871E0
5.808903750E-1,-2.599593142E0,5.578038495E0,4.399364365E0,7.564840036E0
5.908443750E-1,-4.551905943E0,4.839628714E0,2.911621034E0,7.253922445E0
6.007983750E-1,-5.918704296E0,4.535164779E0,1.692731509E0,7.646183367E0
6.107523750E-1,-6.056188708E0,4.869043717E0,1.002953020E0,7.835235998E0
6.207063750E-1,-5.313918595E0,5.185721900E0,5.532484885E-1,7.445503767E0
6.306603750E-1,-4.410620840E0,5.690262351E0,4.849704051E-1,7.215806131E0
6.406143750E-1,-3.736817529E0,6.132689584E0,1.287170970E0,7.295923238E0
6.505683750E-1,-3.031497141E0,6.539087445E0,2.778775803E0,7.724715819E0
6.605223750E-1,-2.380114394E0,6.876254271E0,4.082542341E0,8.343558551E0
6.704763750E-1,-2.195304957E0,7.196268291E0,4.619037241E0,8.828428297E0
6.804303750E-1,-2.405996509E0,7.148961393E0,4.033535657E0,8.553705518E0
6.903843750E-1,-2.583297536E0,7.098233873E0,3.106553171E0,8.167559175E0
7.003383750E-1,-2.612802587E0,7.287261491E0,2.414227635E0,8.109217747E0
7.102891250E-1,-2.670204703E0,7.601513080E0,1.648669085E0,8.223813228E0
7.202431250E-1,-2.732429017E0,8.181677325E0,9.834722905E-1,8.681775736E0
7.301971250E-1,-2.606300483E0,8.745965211E0,8.142576702E-1,9.162299123E0
7.401511250E-1,-2.397718606E0,9.135767503E0,9.377821474E-1,9.491614075E0
7.501051250E-1,-2.048456229E0,9.171126201E0,1.337881533E0,9.491873141E0
7.600601250E-1,-2.203647764E0,8.987946383E0,1.869888110E0,9.441171813E0
7.700141250E-1,-2.522104086E0,8.934713917E0,2.174674226E0,9.535162808E0
7.799681250E-1,-2.066322396E0,8.227333555E0,1.744355407E0,8.660339569E0
