"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.579541663E-3,-2.123705801E-1,3.762331343E-1,-1.301149909E0,1.371000992E0
1.553354166E-2,-2.149617738E-1,3.005202797E-1,-6.238932323E-1,7.250956958E-1
2.548654166E-2,-1.921810216E-1,2.594782528E-1,5.030090654E-1,5.977295614E-1
3.544054167E-2,-7.544603884E-2,1.832254444E-1,1.308366542E0,1.323286317E0
4.539454167E-2,-4.026977420E-2,-7.478470048E-2,1.352280301E0,1.354945172E0
5.534754167E-2,-3.000206351E-2,-2.190817950E-1,9.591018265E-1,9.842628056E-1
6.530154167E-2,-1.220568261E-1,-7.256504260E-2,3.603966451E-1,3.873619702E-1
7.525454167E-2,-3.114779618E-1,1.112910422E-1,-3.410599029E-1,4.751063819E-1
8.520854166E-2,-4.905939648E-1,1.479781178E-1,-9.072446251E-1,1.041956223E0
9.516154166E-2,-5.553656191E-1,1.592489914E-1,-1.139169171E0,1.277300909E0
1.051155417E-1,-6.436901504E-1,2.214838312E-1,-1.154201778E0,1.339990239E0
1.150685417E-1,-7.451501593E-1,3.421572426E-1,-1.111204278E0,1.380976208E0
1.250225417E-1,-8.395096019E-1,4.339621463E-1,-9.391558045E-1,1.332333720E0
1.349765417E-1,-7.401937670E-1,4.184775132E-1,-4.958859873E-1,9.843338631E-1
1.449295417E-1,-6.347576514E-1,3.039949145E-1,2.472436666E-2,7.042311257E-1
1.548835417E-1,-5.121210739E-1,8.393155474E-2,3.249128169E-1,6.122751332E-1
1.648365417E-1,-5.322430971E-1,-5.230480582E-3,4.143103123E-1,6.745095309E-1
1.747905417E-1,-6.240215787E-1,-8.833699320E-2,2.984009564E-1,6.973159154E-1
1.847435417E-1,-6.467114067E-1,-2.703094706E-1,3.059421104E-1,7.647897936E-1
1.946975417E-1,-7.255926847E-1,-2.792133913E-1,5.281070691E-1,9.398627232E-1
2.046515417E-1,-6.679721752E-1,-1.657449556E-1,7.236326981E-1,9.986503386E-1
2.146045417E-1,-5.078084600E-1,3.053328305E-2,8.903853482E-1,1.025469542E0
2.245585417E-1,-4.732639870E-1,2.298974629E-1,9.293073392E-1,1.067915622E0
2.345115417E-1,-5.840608299E-1,4.097116964E-1,7.887946540E-1,1.063573097E0
2.444655417E-1,-9.652124593E-1,5.057633232E-1,4.094618011E-1,1.164083587E0
2.544185417E-1,-1.456432953E0,4.809003776E-1,-1.110871571E-1,1.537791428E0
2.643725417E-1,-1.554092272E0,4.003805635E-1,-5.975754994E-1,1.712484704E0
2.743265417E-1,-1.751882527E0,4.178643230E-1,-9.163411385E-1,2.020738495E0
2.842795417E-1,-2.710022195E0,8.670764463E-1,-7.794373548E-1,2.950180410E0
2.942335417E-1,-3.568489054E0,1.460755361E0,9.389049590E-2,3.857037177E0
3.041865417E-1,-4.079671650E0,1.721025309E0,1.564475173E0,4.696086823E0
3.141402500E-1,-3.472442398E0,9.173812120E-1,2.730593576E0,4.511716500E0
3.240932500E-1,-1.750831490E0,-6.476368748E-1,2.533227829E0,3.146758278E0
3.340472500E-1,1.098520790E0,-2.137807239E0,1.406470542E0,2.784802884E0
3.440012500E-1,1.647538964E0,-3.523320775E0,1.266832016E0,4.090603535E0
3.539542500E-1,8.412412548E-1,-3.109313349E0,-2.121276283E-1,3.228082168E0
3.639082500E-1,4.854399365E-1,-2.015836075E0,-6.294977885E-1,2.166913583E0
3.738612500E-1,-1.839256302E-1,-5.890840998E-1,-4.123783922E-1,7.422295146E-1
3.838152500E-1,-2.594403738E-1,6.777497430E-1,-3.555972505E-1,8.081481462E-1
3.937682500E-1,5.211111680E-1,1.557532481E0,-3.452348149E-1,1.678288222E0
4.037222500E-1,9.463765311E-1,1.586726460E0,-4.936587828E-1,1.912335847E0
4.136762500E-1,9.311205608E-1,7.782304895E-1,-2.492289718E0,2.772027459E0
4.236292500E-1,9.135335979E-1,-6.014824627E-1,-5.095890541E0,5.211950229E0
4.335832500E-1,8.010998270E-1,-1.197441426E0,-5.505216102E0,5.690609039E0
4.435362500E-1,4.298171282E-2,-9.731439880E-1,-5.537120849E0,5.622149407E0
4.534902500E-1,-1.521327545E0,-1.162194410E0,-4.956309317E0,5.313203873E0
4.634432500E-1,-2.680553982E0,-1.097305885E0,-5.472318497E0,6.191584578E0
4.733972500E-1,-3.245284209E0,-6.231886429E-1,-4.632910929E0,5.690702713E0
4.833512500E-1,-4.887817957E0,5.077214827E-1,-2.515756933E0,5.520650182E0
4.933042500E-1,-3.637699623E0,4.909213357E-1,-4.158749687E0,5.546986683E0
5.032582500E-1,-1.205043903E0,-5.882709713E-1,-5.562676690E0,5.722024598E0
5.132112500E-1,-1.846039072E-1,-6.367463625E-1,-4.971112128E0,5.015125156E0
5.231652500E-1,5.985018446E-1,-3.779368302E-1,-3.307819596E0,3.382707671E0
5.331182500E-1,7.302733809E-1,-5.491943215E-1,-2.515617185E0,2.676423627E0
5.430722500E-1,-6.199017768E-1,-1.255627873E0,-3.725491472E0,3.979970638E0
5.530262500E-1,-1.408021808E0,-1.559795646E0,-5.162621305E0,5.573880749E0
5.629792500E-1,-1.616686423E0,-1.966561150E0,-6.685070200E0,7.153404876E0
5.729332500E-1,-1.868155580E0,-2.095682143E0,-7.295570385E0,7.817111753E0
5.828862500E-1,-1.384859525E0,-2.257108126E0,-7.308104476E0,7.773079443E0
5.928402500E-1,-6.963197690E-1,-2.331182408E0,-6.941437277E0,7.355462196E0
6.027932500E-1,-1.447466540E-1,-2.365921155E0,-6.642404822E0,7.052664484E0
6.127472500E-1,-4.323402017E-2,-2.357074318E0,-7.461229021E0,7.824807156E0
6.227012500E-1,-8.816788441E-1,-2.287350949E0,-8.392912669E0,8.743587079E0
6.326542500E-1,-1.693005159E0,-2.642839149E0,-8.161634824E0,8.744320914E0
6.426082500E-1,1.382480586E-1,-2.865016971E0,-6.873467488E0,7.447952073E0
6.525612500E-1,7.990623647E-1,-2.702633068E0,-5.394497904E0,6.086323505E0
6.625152500E-1,-7.013735175E-2,-3.232656562E0,-4.759727097E0,5.754128060E0
6.724682500E-1,-5.818839115E-1,-4.194218313E0,-4.974469600E0,6.532641421E0
6.824222500E-1,4.062236130E-2,-5.406819157E0,-4.575795327E0,7.083307592E0
6.923762500E-1,6.561768794E-1,-6.503974915E0,-4.297535105E0,7.823111003E0
7.023292500E-1,4.181811690E-2,-6.585851136E0,-4.375229398E0,7.906820868E0
7.122832500E-1,5.121120107E-1,-6.530195584E0,-4.030867572E0,7.691138177E0
7.222362500E-1,2.239846122E0,-6.895807360E0,-2.994947950E0,7.844665897E0
7.321902500E-1,3.852799391E0,-6.859654611E0,-1.460614005E0,8.002019607E0
7.421432500E-1,4.533867282E0,-6.189977095E0,5.059888065E-2,7.672960916E0
7.520972500E-1,5.367617669E0,-5.883818053E0,1.324245534E0,8.073677016E0
7.620512500E-1,5.570140661E0,-5.854295461E0,1.892741953E0,8.299500854E0
7.720042500E-1,5.492016013E0,-5.694334937E0,1.766950510E0,8.106158422E0
7.819582500E-1,5.085822805E0,-5.634027339E0,1.405170706E0,7.718961224E0
7.919112500E-1,4.738377743E0,-5.442545645E0,9.060272348E-1,7.272854466E0
8.018652500E-1,4.884174557E0,-5.098783743E0,8.742859170E-1,7.114571851E0
8.118182500E-1,5.416438996E0,-4.715464259E0,1.796726578E0,7.402813045E0
8.217722500E-1,5.833046095E0,-4.178539004E0,3.647532885E0,8.049168348E0
8.317262500E-1,5.934750225E0,-3.558096798E0,5.450829395E0,8.808680614E0
8.416792500E-1,6.189693505E0,-2.840176830E0,6.552331973E0,9.450500748E0
8.516332500E-1,6.335048270E0,-1.913834614E0,6.847999356E0,9.523166211E0
8.615862500E-1,6.095205424E0,-1.181249828E0,6.409620150E0,8.923570517E0
8.715402500E-1,5.792237792E0,-5.399617141E-1,5.457625029E0,7.976668995E0
8.814932500E-1,5.667180467E0,1.549266565E-1,4.415747679E0,7.186081288E0
8.914472500E-1,5.625686286E0,7.145969957E-1,3.480889578E0,6.653990330E0
9.014012500E-1,5.718644151E0,1.391298187E0,2.883571356E0,6.553898484E0
9.113542500E-1,6.082121694E0,2.084388539E0,2.753000692E0,6.993989755E0
9.213082500E-1,6.324867682E0,2.588033196E0,2.866136128E0,7.410573752E0
9.312612500E-1,6.549611848E0,2.812586158E0,3.288864092E0,7.850139061E0
9.412152500E-1,6.660357528E0,2.884474751E0,3.780677494E0,8.183769260E0
9.511682500E-1,6.453661963E0,2.849483258E0,3.915644680E0,8.068555064E0
9.611222500E-1,5.855309368E0,2.505851750E0,3.488057095E0,7.261575799E0
9.710762500E-1,5.079017231E0,2.144764549E0,2.857553000E0,6.209834148E0
9.810292500E-1,4.215833422E0,1.756810561E0,2.123283632E0,5.036662404E0
9.909832500E-1,3.744889318E0,1.232176153E0,1.479021040E0,4.210695585E0
1.000936250E0,3.587460346E0,6.581321883E-1,1.124638256E0,3.816781486E0
1.010890250E0,3.425361494E0,4.478411704E-1,1.176177953E0,3.649254398E0
1.020843250E0,3.506820517E0,5.989262062E-1,1.492522845E0,3.857995229E0
1.030797250E0,3.808639171E0,8.194533598E-1,1.819050078E0,4.299555714E0
1.040751250E0,3.984342155E0,1.089574258E0,1.973730567E0,4.577965358E0
1.050704250E0,3.953394889E0,1.348748583E0,1.870647663E0,4.576874104E0
1.060658250E0,3.506940385E0,1.529700612E0,1.444694960E0,4.089713725E0
1.070611250E0,3.196796758E0,1.761626328E0,9.461566758E-1,3.770682867E0
1.080565250E0,3.014225636E0,2.037636541E0,4.441387135E-1,3.665348285E0
1.090518250E0,2.798689373E0,1.935365231E0,-2.372507751E-1,3.410951292E0
1.100472250E0,2.573096484E0,2.029252803E0,-8.010603583E-1,3.373483386E0
1.110426250E0,1.919483901E0,2.062644498E0,-1.261033332E0,3.086928220E0
1.120379250E0,1.790102268E0,2.085381396E0,-1.486782049E0,3.124708395E0
1.130333250E0,1.938022498E0,2.085988337E0,-1.512453080E0,3.224095666E0
1.140286250E0,1.798090442E0,1.972153573E0,-1.088603035E0,2.882286509E0
1.150240250E0,1.680233670E0,2.056181570E0,-3.075471711E-1,2.673135444E0
1.160193250E0,1.695208974E0,2.055386934E0,8.544887066E-2,2.665642591E0
1.170147250E0,1.204457427E0,1.516891116E0,6.959052014E-1,2.058144894E0
1.180101250E0,9.456330577E-1,1.537004369E0,8.142890990E-1,1.979815912E0
1.190054250E0,5.221832550E-1,1.118243156E0,9.601597706E-2,1.237886172E0
1.200008250E0,-1.382796335E-1,4.874566412E-1,-6.924775636E-1,8.580561813E-1
1.209961250E0,-7.075282967E-1,2.537229663E-1,-9.525254631E-1,1.213373970E0
1.219915250E0,-7.918591797E-1,2.518243754E-1,-6.548413754E-1,1.057957326E0
1.229868250E0,-6.805773103E-1,2.477705008E-1,-6.844446588E-1,9.965140176E-1
1.239822250E0,-7.650011641E-1,3.652124119E-1,-4.872449720E-1,9.777599652E-1
1.249776250E0,-7.741602427E-1,3.237053668E-1,-2.015511847E-1,8.629786358E-1
1.259729250E0,-6.971465653E-1,3.068805885E-1,-9.625452518E-2,7.677590525E-1
1.269683250E0,-5.205635762E-1,4.147061688E-1,4.592987895E-2,6.671410624E-1
1.279636250E0,-2.885402119E-1,5.484319907E-1,3.316191712E-2,6.205906985E-1
1.289590250E0,-9.465297282E-2,5.964949340E-1,-1.061748930E-1,6.132197807E-1
1.299543250E0,1.555739433E-1,5.382712841E-1,-3.502797925E-1,6.607837469E-1
1.309497250E0,5.147444272E-1,4.712645316E-1,-4.882577097E-1,8.517321617E-1
1.319451042E0,8.256952626E-1,4.257106286E-1,-4.794097030E-1,1.045387904E0
1.329404042E0,9.951095653E-1,3.844158375E-1,-4.281904328E-1,1.149506690E0
1.339358042E0,9.621914953E-1,1.053276497E-1,-3.783674777E-1,1.039263362E0
1.349311042E0,9.462087160E-1,-3.362178236E-1,-4.179519582E-1,1.087675135E0
1.359265042E0,8.451185435E-1,-6.921758473E-1,-3.672425652E-1,1.152475535E0
1.369218042E0,8.260782552E-1,-1.030208062E0,-2.442183173E-1,1.342898552E0
1.379172042E0,9.927098680E-1,-1.235283363E0,-1.427632785E-1,1.591156568E0
