"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.309287000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
8.255277000E-3,-1.426029205E-1,-2.344703674E-2,1.090764999E-1,1.810608719E-1
1.320137000E-2,-2.246101052E-1,-7.966399193E-2,1.864871979E-1,3.026111794E-1
1.814736000E-2,-3.289958239E-1,-1.372036934E-1,4.207096100E-1,5.514160693E-1
2.309334900E-2,-2.296169698E-1,-9.909009933E-2,4.068088531E-1,4.775314059E-1
2.803933900E-2,-1.737342328E-1,-9.834170341E-2,3.108663559E-1,3.694490026E-1
3.298532900E-2,-1.253816634E-1,-6.892061234E-2,1.599597931E-1,2.146106888E-1
3.793131800E-2,-7.295648754E-2,-3.135609627E-2,-4.584121704E-2,9.169117202E-2
4.287736000E-2,9.741082788E-3,2.563309669E-2,-2.504253387E-1,2.519221995E-1
4.782334900E-2,8.419498801E-2,6.735372543E-2,-4.524765015E-1,4.651454662E-1
5.276933900E-2,1.639324576E-1,9.397602081E-2,-5.578422546E-1,5.889765056E-1
5.771532900E-2,2.762767673E-1,1.291191578E-1,-5.711479187E-1,6.474647126E-1
6.266131800E-2,3.671767116E-1,1.879000664E-1,-5.364255905E-1,6.766665254E-1
6.760730800E-2,3.500341475E-1,2.158722878E-1,-4.827489853E-1,6.341697973E-1
7.255329700E-2,3.074662685E-1,2.107968330E-1,-4.505662918E-1,5.847912400E-1
7.749928700E-2,2.717164457E-1,1.835651398E-1,-3.885517120E-1,5.084273993E-1
8.244532900E-2,3.185107112E-1,1.035304070E-1,-2.841615677E-1,4.392213734E-1
8.739131800E-2,3.686124086E-1,-4.465818405E-3,-1.749706268E-1,4.080560888E-1
9.233730800E-2,3.832945824E-1,-1.079771519E-1,-8.082485199E-2,4.063329409E-1
9.728329700E-2,4.252260625E-1,-1.962759495E-1,-4.956245422E-3,4.683652602E-1
1.022292870E-1,4.038330317E-1,-2.702326775E-1,3.789424896E-2,4.873836184E-1
1.071752770E-1,3.418467343E-1,-3.692104816E-1,-9.117126465E-4,5.031663748E-1
1.121212660E-1,2.221019566E-1,-4.165017605E-1,-9.749412537E-2,4.819835060E-1
1.170672560E-1,1.175929010E-1,-4.253346920E-1,-1.994638443E-1,4.842762804E-1
1.220132970E-1,7.341913879E-2,-3.714966774E-1,-2.748804092E-1,4.679309678E-1
1.269592870E-1,4.591679573E-2,-3.281602859E-1,-3.825626373E-1,5.061143121E-1
1.319052770E-1,-1.416675001E-2,-3.081011772E-1,-5.309276581E-1,6.140123861E-1
1.368512660E-1,-6.823688745E-3,-2.915318012E-1,-6.428298950E-1,7.058807461E-1
1.417972560E-1,6.349132210E-2,-3.080008030E-1,-7.359981537E-1,8.003679934E-1
1.467432450E-1,1.163594723E-1,-3.099763393E-1,-7.858181000E-1,8.527220790E-1
